,Postcode,Suburb,TotalAccidents,Non-injury,Other-injury,Serious-injury,Fatality,None-injury
0,3737,Abbeyard ,0.0,0.0,0.0,0.0,0.0,0.0
1,3067,Abbotsford ,370.0,0.0,306.0,119.0,2.0,499.0
2,3040,Aberfeldie ,491.0,0.0,447.0,138.0,2.0,588.0
3,3825,Aberfeldy ,773.0,0.0,666.0,312.0,14.0,499.0
4,3714,Acheron ,115.0,0.0,103.0,52.0,2.0,52.0
5,3833,Ada ,158.0,0.0,111.0,71.0,7.0,75.0
6,3984,Adams Estate ,182.0,0.0,119.0,126.0,8.0,121.0
7,3352,Addington ,592.0,0.0,502.0,350.0,32.0,345.0
8,3465,Adelaide Lead ,215.0,0.0,175.0,108.0,7.0,171.0
9,3962,Agnes ,31.0,0.0,28.0,14.0,0.0,16.0
10,3237,Aire Valley ,79.0,0.0,68.0,47.0,4.0,81.0
11,3231,Aireys Inlet ,79.0,0.0,67.0,35.0,3.0,71.0
12,3851,Airly ,207.0,0.0,202.0,128.0,9.0,160.0
13,3042,Airport West ,586.0,0.0,544.0,200.0,9.0,780.0
14,3424,Albacutya ,19.0,0.0,13.0,11.0,0.0,4.0
15,3021,Albanvale ,902.0,0.0,682.0,442.0,14.0,1185.0
16,3206,Albert Park ,359.0,0.0,270.0,142.0,1.0,392.0
17,3971,Alberton ,110.0,0.0,89.0,58.0,1.0,66.0
18,3971,Alberton West ,110.0,0.0,89.0,58.0,1.0,66.0
19,3020,Albion ,1151.0,0.0,917.0,477.0,14.0,1531.0
20,3714,Alexandra ,115.0,0.0,103.0,52.0,2.0,52.0
21,3350,Alfredton ,1548.0,0.0,1594.0,496.0,17.0,1970.0
22,3823,Allambee ,49.0,0.0,50.0,16.0,5.0,64.0
23,3871,Allambee Reserve ,116.0,0.0,89.0,48.0,3.0,77.0
24,3871,Allambee South ,116.0,0.0,89.0,48.0,3.0,77.0
25,3691,Allans Flat ,303.0,0.0,222.0,177.0,15.0,211.0
26,3277,Allansford ,55.0,0.0,43.0,33.0,5.0,42.0
27,3364,Allendale ,76.0,0.0,59.0,35.0,3.0,38.0
28,3305,Allestree ,270.0,0.0,244.0,134.0,12.0,238.0
29,3465,Alma ,215.0,0.0,175.0,108.0,7.0,171.0
30,3727,Almonds ,2.0,0.0,1.0,5.0,0.0,7.0
31,3979,Almurta ,21.0,0.0,18.0,11.0,1.0,8.0
32,3078,Alphington ,376.0,0.0,317.0,140.0,1.0,447.0
33,3018,Altona ,219.0,0.0,177.0,92.0,4.0,237.0
34,3028,Altona Meadows ,434.0,0.0,376.0,168.0,7.0,566.0
35,3025,Altona North ,493.0,0.0,415.0,206.0,10.0,617.0
36,3249,Alvie ,185.0,0.0,149.0,101.0,13.0,148.0
37,3371,Amherst ,47.0,0.0,38.0,30.0,5.0,16.0
38,3825,Amor ,773.0,0.0,666.0,312.0,14.0,499.0
39,3468,Amphitheatre ,11.0,0.0,4.0,9.0,0.0,3.0
40,3221,Anakie ,258.0,0.0,173.0,155.0,10.0,235.0
41,3715,Ancona ,43.0,0.0,27.0,30.0,6.0,7.0
42,3995,Anderson ,224.0,0.0,200.0,113.0,6.0,206.0
43,3898,Anglers Rest ,110.0,0.0,52.0,78.0,5.0,40.0
44,3230,Anglesea ,107.0,0.0,79.0,44.0,1.0,59.0
45,3549,Annuello ,71.0,0.0,59.0,41.0,6.0,83.0
46,3414,Antwerp ,45.0,0.0,44.0,37.0,4.0,43.0
47,3233,Apollo Bay ,112.0,0.0,115.0,45.0,2.0,100.0
48,3579,Appin ,156.0,0.0,134.0,97.0,21.0,83.0
49,3677,Appin Park ,249.0,0.0,224.0,75.0,4.0,275.0
50,3579,Appin South ,156.0,0.0,134.0,97.0,21.0,83.0
51,3319,Apsley ,12.0,0.0,5.0,9.0,2.0,7.0
52,3409,Arapiles ,32.0,0.0,32.0,16.0,0.0,17.0
53,3377,Ararat ,194.0,0.0,143.0,92.0,6.0,161.0
54,3951,Arawata ,70.0,0.0,57.0,28.0,1.0,29.0
55,3858,Arbuckle ,158.0,0.0,96.0,92.0,2.0,51.0
56,3631,Arcadia ,385.0,0.0,327.0,251.0,16.0,378.0
57,3631,Arcadia South ,385.0,0.0,327.0,251.0,16.0,378.0
58,3475,Archdale ,21.0,0.0,5.0,15.0,5.0,3.0
59,3475,Archdale Junction ,21.0,0.0,5.0,15.0,5.0,3.0
60,3723,Archerton ,417.0,0.0,293.0,193.0,8.0,114.0
61,3995,Archies Creek ,224.0,0.0,200.0,113.0,6.0,206.0
62,3022,Ardeer ,129.0,0.0,107.0,66.0,1.0,198.0
63,3629,Ardmona ,222.0,0.0,202.0,123.0,13.0,259.0
64,3480,Areegra ,34.0,0.0,19.0,18.0,10.0,6.0
65,3523,Argyle ,125.0,0.0,91.0,74.0,7.0,85.0
66,3143,Armadale ,213.0,0.0,183.0,80.0,3.0,247.0
67,3377,Armstrong ,194.0,0.0,143.0,92.0,6.0,161.0
68,3551,Arnold ,620.0,0.0,501.0,358.0,29.0,367.0
69,3551,Arnold West ,620.0,0.0,501.0,358.0,29.0,367.0
70,3099,Arthurs Creek ,108.0,0.0,77.0,58.0,3.0,42.0
71,3936,Arthurs Seat ,293.0,0.0,274.0,129.0,13.0,307.0
72,3551,Ascot ,620.0,0.0,501.0,358.0,29.0,367.0
73,3364,Ascot ,76.0,0.0,59.0,35.0,3.0,38.0
74,3032,Ascot Vale ,598.0,0.0,502.0,218.0,9.0,788.0
