,0,1
ACCIDENT_NO,144078,more than 100
ACCIDENTDATE,3841,more than 100
ACCIDENTTIME,1439,more than 100
ACCIDENT_TYPE,9,[1 7 4 2 5 6 8 3 9]
Accident Type Desc,9,"['Collision with vehicle' 'Fall from or in moving vehicle'
 'Collision with a fixed object' 'Struck Pedestrian'
 'collision with some other object' 'Vehicle overturned (no collision)'
 'No collision and no object struck' 'Struck animal' 'Other accident']"
DAY_OF_WEEK,8,[6 7 1 2 3 4 5 0]
Day Week Description,7,['Friday' 'Saturday' 'Sunday' 'Monday' 'Tuesday' 'Wednesday' 'Thursday']
DCA_CODE,81,"[113 190 130 121 116 171 140 109 173 110 104 131 160 136 165 135 170 172
 148 142 111 100 180 181 174 166 133 179 184 120 146 147 114 134 183 182
 152 143 137 132 189 151 167 102 175 101 150 163 106 103 129 112 139 107
 108 164 123 141 105 145 153 191 144 119 159 162 169 149 198 154 115 192
 117 199 194 118 122 193 124 125 161]"
DCA Description,81,"['RIGHT NEAR (INTERSECTIONS ONLY)               '
 'FELL IN/FROM VEHICLE                    '
 'REAR END(VEHICLES IN SAME LANE)               '
 'RIGHT THROUGH                        '
 'LEFT NEAR (INTERSECTIONS ONLY)               '
 'LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       '
 'U TURN                           '
 'ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  '
 'RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      '
 'CROSS TRAFFIC(INTERSECTIONS ONLY)              '
 'PED WALKING WITH TRAFFIC                  '
 'LEFT REAR                          '
 'VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD    '
 'RIGHT TURN SIDESWIPE                    '
 'TEMPORARY ROADWORKS                     '
 'LANE CHANGE LEFT (NOT OVERTAKING)              '
 'OFF CARRIAGEWAY TO LEFT                   '
 'OFF CARRIAGEWAY TO RIGHT                  '
 'VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY'
 'LEAVING PARKING                       '
 'RIGHT FAR (INTERSECTIONS ONLY)               '
 'PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      '
 'OFF CARRIAGEWAY ON RIGHT BEND                '
 'OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE          '
 'OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)         '
 'STRUCK OBJECT ON CARRIAGEWAY                '
 'LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES)        '
 'OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175  '
 'OUT OF CONTROL ON CARRIAGEWAY (ON BEND)           '
 'HEAD ON (NOT OVERTAKING)                  '
 'REVERSING INTO FIXED OBJECT/PARKED VEHICLE         '
 'VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY'
 'TWO RIGHT TURNING (INTERSECTIONS ONLY)           '
 'LANE CHANGE RIGHT (NOT OVERTAKING)             '
 'OFF LEFT BEND INTO OBJECT/PARKED VEHICLE          '
 'OFF CARRIAGEWAY ON LEFT BEND                '
 'PULLING OUT (OVERTAKING)                  '
 'ENTERING PARKING                      '
 'LEFT TURN SIDESWIPE                     '
 'RIGHT REAR.                         '
 'OTHER ACCIDENTS ON CURVE NOT INCLUDED IN DCAs 180-184    '
 'OUT OF CONTROL (OVERTAKING)                 '
 'STRUCK ANIMAL                        '
 'FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         '
 'OFF END OF ROAD/T-INTERSECTION.               '
 'PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE  '
 'HEAD ON(OVERTAKING)                     '
 'VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      '
 'VEH STRIKES PED ON FOOTPATH/MEDIAN/TRAFFIC ISLAND.'
 'PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.'
 'OTHER OPPOSING MANOEUVRES NOT INCLUDED IN DCAs 120-125.   '
 'LEFT FAR (INTERSECTIONS ONLY)                '
 'OTHER SAME DIRECTION-MANOUEVRES NOT INCLUDED IN DCAs 130-137'
 'PED ON FOOTHPATH STRUCK BY VEHENTERING/LEAVING DRIVEWAY.  '
 'PED STRUCK WALKING TO/FROM OR BOARDING/ALIGHTING VEHICLE.  '
 'PERMANENT OBSTRUCTION ON CARRIAGEWAY            '
 'RIGHT/LEFT. ONE VEH TURNING RIGHT THE OTHER LEFT.      '
 'U TURN INTO FIXED OBJECT/PARKED VEHICLE           '
 'PED WALKING AGAINST TRAFFIC.                '
 'REVERSING IN STREAM OF TRAFFIC               '
 'CUTTING IN (OVERTAKING)                   '
 'LOAD OR MISSILE STRUCK VEHICLE               '
 'PARKED VEHICLES ONLY                    '
 'OTHER ADJACENT (INTERSECTIONS ONLY)             '
 'OTHER OVERTAKING MANOEUVRES NOT INCLUDED IN DCAs 150-154  '
 'ACCIDENT OR BROKEN DOWN                   '
 'OTHER ON PATH                        '
 'OTHER MANOEUVRING NOT INCLUDED IN DCAs 140-148       '
 'OTHER ACCIDENTS NOT CLASSIFIABLE ELSEWHERE         '
 'PULLING OUT -REAR END                    '
 'RIGHT/LEFT FAR (INTERSECTIONS ONLY)             '
 'STRUCK TRAIN                        '
 'LEFT/RIGHT FAR (INTERSECTIONS ONLY)             '
 'UNKNOWN-NO DETAILS ON MANOEUVRES OF ROAD-USERS IN ACCIDENT '
 'PARKED CAR RUN AWAY                     '
 'TWO LEFT TURNING (INTERSECTIONS ONLY)            '
 'LEFT THROUGH                        '
 'STRUCK RAILWAY CROSSING FURNITURE              '
 'RIGHT/RIGHT BOTH VEHs FROM OPPOSITE DIRECTIONS TURNING RIGHT'
 'LEFT/LEFT. BOTH VEHs FROM OPPOSITE DIRECTIONS TURNING LEFT. '
 'DOUBLE PARKED                        ']"
DIRECTORY,3,['MEL' 'VCS' nan]
