,0,1
ACCIDENT_NO,144078,more than 100
NODE_ID,98224,more than 100
ROAD_ROUTE_1,1291,more than 100
ROAD_NAME,11920,more than 100
ROAD_TYPE,69,"['STREET' 'ROAD' 'AVENUE' 'HIGHWAY' nan 'FREEWAY' 'DRIVE' 'PLACE' 'GROVE'
 'LANE' 'RAMP' 'PARADE' 'CRESCENT' 'WAY' 'COURT' 'CLOSE' 'TERRACE' 'TRACK'
 'ESPLANADE' 'BOULEVARD' 'PROMENADE' 'BYPASS' 'EAST' 'SQUARE' 'ROUTE'
 'WEST' 'CAUSEWAY' 'TRAIL' 'RISE' 'LINK' 'WYND' 'PARKWAY' 'GATEWAY'
 'TUNNEL' 'CIRCUIT' 'PARK' 'PATH' 'BOULEVARDE' 'HUB' 'QUADRANT' 'QUAY'
 'VIEW' 'MEWS' 'GREEN' 'DALE' 'CONCOURSE' 'MALL' 'WALK' 'ARCADE' 'ACCESS'
 'BEND' 'GARDENS' 'GATE' 'RUN' 'CIRCLE' 'HEIGHTS' 'GRANGE' 'BREAK' 'ALLEY'
 'FIRELINE' 'CHASE' 'POINT' 'STRIP' 'RIDGE' 'CENTRE' 'CREEK' 'CUTTING'
 'THROUGHWAY' 'LOOP']"
ROAD_NAME_INT,17802,more than 100
ROAD_TYPE_INT,94,"['STREET' 'ROAD' 'AVENUE' 'CRESCENT' 'DRIVE' 'LANE' nan 'RAMP' 'COURT'
 'HIGHWAY' 'PLACE' 'GROVE' 'FREEWAY' 'PARADE' 'TRACK' 'CLOSE' 'WAY'
 'BOULEVARD' 'TUNNEL' 'TERRACE' 'PROMENADE' 'WYND' 'PROMENADE BIKE'
 'BOULEVARDE' 'CIRCUIT' 'BEND' 'ARCADE' 'SQUARE' 'WALK' 'TRAIL' 'ESPLANADE'
 'RISE' 'ALLEY' 'BYPASS' 'ROW' 'ENTRANCE' 'WHARF' 'BREAK' 'ACCESS' 'PASS'
 'DIVIDE' 'HILL' 'CIRCLE' 'CAUSEWAY' 'RIDE' 'CROSS' 'VIEW' 'STRIP'
 'CROSSING' 'DEVIATION' 'ISLAND' 'CENTRE' 'PARKWAY' 'QUADRANT' 'MEWS'
 'LANDING' 'LINK' 'VISTA' 'GLEN' 'CUTTING' 'FIRELINE' 'DRIVE SERVICE ROAD'
 'GREEN' 'RIDGE' 'PARK' 'GATEWAY' 'DALE' 'GARDENS' 'RUN' 'CONCOURSE'
 'APPROACH' 'LINE' 'RETREAT' 'HUB' 'NOOK' 'RESERVE' 'STREET SERVICE ROAD'
 'DELL' 'QUAY' 'OUTLET' 'THROUGHWAY' 'PLAZA' 'LOOP' 'CHASE' 'FIREBREAK'
 'GLADE' 'VIEWS' 'VALLEY' 'POINT' 'RISING' 'CONNECTION' 'ROUTE' 'HEIGHTS'
 'MALL']"
DISTANCE_LOCATION,2923,more than 100
DIRECTION_LOCATION,10,['SW' 'S' 'W' 'N' 'E' 'NW' 'NK' 'NE' 'SE' nan]
NEAREST_KM_POST,1,[ nan]
OFF_ROAD_LOCATION,4786,more than 100
