,0,1
ACCIDENT_NO,143179,more than 100
NODE_ID,98220,more than 100
NODE_TYPE,3,['I' 'N' 'O']
AMG_X,98163,more than 100
AMG_Y,98154,more than 100
LGA_NAME,88,"['DANDENONG' 'CASEY' 'MORNINGTON PENINSULA' 'BAW BAW' 'FRANKSTON' 'WYNDHAM'
 'EAST GIPPSLAND' 'LATROBE' 'BASS COAST' 'GEELONG' 'STONNINGTON'
 'GANNAWARRA' 'CARDINIA' 'GLEN EIRA' 'SOUTH GIPPSLAND' 'MANNINGHAM'
 'MORELAND' 'WELLINGTON' 'BULOKE' 'MELTON' 'HOBSONS BAY' 'MELBOURNE'
 'STRATHBOGIE' 'MARIBYRNONG' 'MACEDON RANGES' 'BRIMBANK' 'SURF COAST'
 'COLAC OTWAY' 'NILLUMBIK' 'BALLARAT' 'YARRA' 'PORT PHILLIP'
 'GOLDEN PLAINS' 'MOIRA' 'MITCHELL' 'YARRA RANGES' 'HUME' 'BAYSIDE'
 'CENTRAL GOLDFIELDS' nan 'SHEPPARTON' 'KINGSTON' 'MOONEE VALLEY' 'BENDIGO'
 'MURRINDINDI' 'HORSHAM' 'SOUTHERN GRAMPIANS' 'BANYULE' 'KNOX' 'MOORABOOL'
 'WHITEHORSE' 'MONASH' 'HINDMARSH' 'BOROONDARA' 'DAREBIN' 'MOYNE' 'ARARAT'
 'WHITTLESEA' 'MAROONDAH' 'HEPBURN' 'WARRNAMBOOL' 'MOUNT ALEXANDER'
 'SWAN HILL' 'INDIGO' 'WANGARATTA' 'MANSFIELD' 'PYRENEES' 'BENALLA'
 'MILDURA' 'CAMPASPE' 'TOWONG' 'LODDON' 'WEST WIMMERA' 'CORANGAMITE'
 'NORTHERN GRAMPIANS' 'ALPINE' '(MOUNT HOTHAM)' 'GLENELG' 'YARRIAMBIACK'
 'WODONGA' '(MOUNT BULLER)' 'QUEENSCLIFFE' '(LAKE MOUNTAIN)'
 '(FALLS CREEK)' '(MOUNT BAW BAW)' '(FRENCH ISLAND)' '(MOUNT STIRLING)'
 'MOUNT BULLER ALPINE RESOR']"
Region Name,8,"['METROPOLITAN SOUTH EAST REGION' 'EASTERN REGION'
 'METROPOLITAN NORTH WEST REGION' 'SOUTH WESTERN REGION' 'NORTHERN REGION'
 'NORTH EASTERN REGION' 'WESTERN REGION' nan]"
Deg Urban Name,7,"['Metropolitan Excluding CBD' 'Country' 'Small Provincial Cities'
 'Other Towns' 'Metropolitan CBD Only' 'Small Towns'
 'Large Provincial Cities']"
Lat,63117,more than 100
Long,70635,more than 100
Postcode No,679,more than 100
